subject,condition,freqBandPowerThetaFz,freqBandPowerAlphaMean,freqBandPowerAlphaPz,freqBandPowerAlphaP1,freqBandPowerAlphaP2,freqBandPowerAlphaP3,freqBandPowerAlphaP4
sub-098,rest,1.200169,1.608655,2.310259,1.707844,1.723477,1.374965,0.926731
sub-097,rest,-2.995814,-6.398903,-6.790426,-7.001176,-7.117677,-5.735027,-5.350208
sub-096,rest,3.978638,1.531435,1.337051,0.624695,1.100188,1.902151,2.693088
sub-095,rest,6.299239,9.715034,9.891460,8.766106,10.179996,8.381248,11.356362
sub-093,rest,-1.814130,-3.236605,-3.029439,-3.225083,-2.914834,-4.080737,-2.932931
sub-092,rest,6.903238,12.092787,12.141215,11.295723,12.040162,11.652555,13.334279
sub-091,rest,4.922522,5.509666,6.274554,5.184731,5.953262,4.295906,5.839877
sub-090,rest,0.199036,8.128838,7.325275,7.849099,7.334876,8.639127,9.495813
sub-089,rest,5.574713,10.469334,9.913933,10.822699,9.764111,10.178536,11.667390
sub-088,rest,7.205418,7.009791,6.334675,6.103354,7.286571,6.771859,8.552494
sub-087,rest,4.595531,2.982729,2.996198,2.120608,3.012309,2.024441,4.760089
sub-086,rest,4.576923,8.495487,7.688996,8.113844,8.035366,8.360456,10.278775
sub-085,rest,1.335899,-1.408434,-1.452126,-1.690698,-2.083857,-1.359025,-0.456464
sub-084,rest,1.549475,4.269561,5.001697,4.370623,4.070017,4.320253,3.585213
sub-083,rest,2.017547,3.550802,4.036305,2.626285,3.456975,2.309027,5.325416
sub-082,rest,2.656972,7.824158,6.831211,7.176779,7.788311,8.270540,9.053951
sub-081,rest,6.125052,10.269761,10.820065,10.334323,10.232806,10.049173,9.912437
sub-080,rest,4.578481,8.418907,8.031794,7.674807,8.584243,7.911838,9.891852
sub-079,rest,0.011204,2.659867,2.762893,3.152492,1.985376,3.039186,2.359385
sub-078,rest,0.644126,-0.795012,-1.617767,-1.603971,-1.340003,-1.344018,1.930700
sub-077,rest,2.897865,-0.047268,-0.299620,-0.947319,0.863178,-0.737672,0.885091
sub-076,rest,1.978297,3.924105,3.829760,3.579362,4.021833,3.810600,4.378973
sub-075,rest,4.001245,7.570863,7.686827,7.521949,6.646976,8.039640,7.958923
sub-074,rest,1.274215,1.822861,1.778230,0.502370,1.965224,1.328336,3.540145
sub-073,rest,4.467870,8.073280,8.013265,7.773365,7.978809,7.658515,8.942446
sub-072,rest,0.710564,-3.089476,-3.289430,-5.253047,-2.671807,-2.804485,-1.428610
sub-071,rest,0.811652,3.777464,3.714620,3.891852,3.163255,4.380181,3.737410
sub-070,rest,7.153596,7.960529,6.931979,6.918816,7.485123,9.024399,9.442331
sub-069,rest,7.529459,4.711738,5.116034,5.255435,4.404919,5.220855,3.561448
sub-068,rest,5.620852,9.702745,9.959758,9.322643,9.659863,8.564250,11.007212
sub-067,rest,-3.631556,-4.503968,-5.269481,-4.793149,-4.260772,-5.445902,-2.750534
sub-065,rest,1.092524,5.448671,5.585878,5.121036,5.053141,5.442412,6.040889
sub-064,rest,-1.582202,-2.824064,-2.737157,-3.383247,-2.785348,-3.008037,-2.206530
sub-063,rest,0.847511,8.710414,9.206890,8.788061,8.756591,8.549810,8.250716
sub-062,rest,7.351705,6.371152,6.165199,5.863308,6.354682,6.128832,7.343741
sub-061,rest,0.495323,7.806084,7.069826,7.292445,7.176989,8.400811,9.090347
sub-060,rest,2.049716,2.402088,1.528914,2.043191,1.991609,3.328863,3.117863
sub-059,rest,2.331199,5.412467,5.525012,5.428350,4.950518,6.348141,4.810317
sub-058,rest,1.123670,2.185349,1.992590,1.291747,1.598053,2.371018,3.673338
sub-057,rest,1.970949,3.550631,3.631728,2.552946,3.844686,2.402958,5.320837
sub-056,rest,4.170736,9.054218,8.800023,9.202225,8.721583,9.506448,9.040811
sub-055,rest,0.853067,2.197168,2.566456,1.173584,2.824269,0.743228,3.678301
sub-054,rest,2.425626,6.432811,4.535986,5.712255,5.849641,8.113799,7.952376
sub-053,rest,7.734183,9.291175,10.200433,8.700140,9.631166,8.364610,9.559529
sub-052,rest,1.436131,7.678426,7.337350,7.329067,6.768709,8.661009,8.295993
sub-051,rest,2.818497,4.754247,4.501527,4.442085,4.866799,4.388817,5.572008
sub-050,rest,7.928287,7.101857,7.138393,6.578153,7.052906,6.958958,7.780877
sub-049,rest,2.061742,1.978305,2.048755,1.021399,2.506868,1.173621,3.140882
sub-048,rest,4.544229,9.123083,9.010958,7.484370,9.180359,8.125396,11.814330
sub-047,rest,0.955922,1.817234,1.976636,1.454526,1.510738,2.323217,1.821052
sub-046,rest,2.232642,0.153686,0.397164,-0.273588,-0.183969,-0.194750,1.023576
sub-045,rest,2.642983,5.741015,7.227532,5.614796,6.151411,4.523704,5.187629
sub-044,rest,2.208659,4.259738,4.059951,3.553147,3.389721,4.929054,5.366814
sub-043,rest,4.862194,5.667564,6.226494,5.476553,6.014486,4.683610,5.936677
sub-042,rest,1.283324,1.068546,-0.276635,-0.239877,0.860316,1.152882,3.846045
sub-041,rest,2.421493,5.771464,5.427136,5.701770,4.656757,7.448472,5.623184
sub-040,rest,6.709993,9.561514,10.053782,9.306741,9.378026,9.632024,9.436997
sub-039,rest,0.000000,-1.300586,-1.812192,-1.780950,-1.044479,-2.193981,0.328673
sub-038,rest,2.593222,6.379755,6.294942,5.892050,5.752511,5.902226,8.057048
sub-036,rest,3.145556,5.082833,5.149982,5.020175,4.828789,5.211795,5.203423
sub-035,rest,2.860327,5.213962,5.245259,5.170943,5.026660,4.643761,5.983186
sub-034,rest,5.975700,7.530537,7.923247,7.256529,7.590076,6.886489,7.996342
sub-033,rest,5.595410,7.734530,7.670341,7.655228,7.951624,7.578896,7.816560
sub-032,rest,1.560895,9.167889,9.339086,8.898727,8.408396,9.366153,9.827082
